,Date,return,high_low,turnover
0,2017-01-03,-0.0026983205174951827,0.0286242170487287,41321092.769947365
1,2017-01-04,0.01370777691650819,0.0247348426974565,45987962.723052636
2,2017-01-05,-0.005726975907862573,0.025457160305938007,41543363.9498421
3,2017-01-06,-0.00358051225157043,0.021123786199888497,36257018.99047369
4,2017-01-09,-0.00517403536874882,0.023289352753625116,39482349.392289475
5,2017-01-10,0.006734486910439873,0.023387042616038217,40069183.31886842
6,2017-01-11,0.003649970328325639,0.02225896044729207,38771992.289789476
7,2017-01-12,-0.003270555984864151,0.025882502948784355,37563131.78828947
8,2017-01-13,0.0026076919812342727,0.020374839787505827,33386463.30492105
9,2017-01-17,-0.006348476401973582,0.02326777258119311,34888641.36907895
10,2017-01-18,0.0024785648161539837,0.021304943447743037,38397051.009552635
11,2017-01-19,-0.008854240630604538,0.023214946752953425,35368346.96671053
12,2017-01-20,0.0032862729598321823,0.01832102217521315,33408187.21355263
13,2017-01-23,-0.0007531888750130655,0.020402771101152448,32472606.140289478
14,2017-01-24,0.012571232209127585,0.026466082938662507,41981115.0325
15,2017-01-25,0.004248379964209817,0.0225267874925932,48059768.62597368
16,2017-01-26,-0.003989494346193645,0.022552721741881724,40689469.220026314
17,2017-01-27,-0.00540000428750121,0.02235882878065532,36727924.75694737
18,2017-01-30,-0.004129162793215226,0.025170615593331665,42874163.720973685
19,2017-01-31,0.00663176846860214,0.026454666488882454,48375381.68539473
20,2017-02-01,-0.0075212287253437525,0.029504354079526417,48346502.35436842
21,2017-02-02,0.001253295425567334,0.024871010114548845,47794729.08213159
22,2017-02-03,0.006672214605022889,0.022716918485474313,41090057.30376316
23,2017-02-06,-0.0048882256443744535,0.020537535932395445,35680264.22394737
24,2017-02-07,-0.00544960313737457,0.021835469001168006,39519410.84768421
25,2017-02-08,0.003210235011832466,0.023451960840131143,42475399.4998421
26,2017-02-09,0.010848965987697592,0.02593494623265282,46168962.32178947
27,2017-02-10,0.0019804261523727116,0.020170713651475443,38621934.816473685
28,2017-02-13,-0.0018964349058844825,0.019544729074540655,39399293.894052625
29,2017-02-14,0.006137795195383802,0.021428172404863288,38411491.01992105
30,2017-02-15,0.006126846993449705,0.0209860310633666,39930874.55471052
31,2017-02-16,-0.0019977031846614064,0.020685084193470864,41268548.76634211
32,2017-02-17,0.0031580898706148213,0.020886034302125284,38823010.48678947
33,2017-02-21,0.0057402938017798695,0.020432620263161717,42962489.7993421
34,2017-02-22,-0.0027989204388645305,0.020361635083740857,44221526.09407895
35,2017-02-23,-0.009574636243162075,0.029079001420901203,51436752.32973685
36,2017-02-24,0.008151869900735714,0.025119742901676522,44668175.461210534
37,2017-02-27,0.008253383989752127,0.020936648324291037,44213643.66644737
38,2017-02-28,-0.009410863566906182,0.023447862093328907,56500764.20434211
39,2017-03-01,0.007341428969163606,0.025709148462261425,53515840.1428421
40,2017-03-02,-0.009173959792338272,0.02378164971023576,40320131.11457895
41,2017-03-03,0.0008860956040917949,0.020825339784599224,39545823.34234211
42,2017-03-06,-0.0006922796416357589,0.019497750609978565,37068240.05036842
43,2017-03-07,-0.00547815357789472,0.01935302828763217,41444653.18136842
44,2017-03-08,-0.006993950587300686,0.02262782907271213,41801571.34218421
45,2017-03-09,-0.0033262614368359394,0.02221112613887541,40018057.87126316
46,2017-03-10,-0.0007331630590517493,0.02151069554477082,40276820.44705263
47,2017-03-13,0.002466115331093035,0.01896527155502657,36703817.24536842
48,2017-03-14,0.0003034605398876017,0.019443121626736854,34489572.60378947
49,2017-03-15,0.010345234733484886,0.02398941512687761,44731390.69902632
50,2017-03-16,-0.003048413462666403,0.019486741739831327,37276370.70836842
51,2017-03-17,0.0011218315817145496,0.01998389692767285,70657875.56113158
52,2017-03-20,-0.005135456905389898,0.018864591619062,33038862.13031579
53,2017-03-21,-0.02506024772982531,0.03569698723824643,44220179.81149999
54,2017-03-22,0.002967704536219159,0.02233206180103193,38535590.51763158
55,2017-03-23,0.003697404064952918,0.022727496086916796,36423819.709526315
56,2017-03-24,-0.002736790669720991,0.020581696564095666,35757791.41518421
57,2017-03-27,0.011831905081867258,0.02733902460752508,37576921.659894735
58,2017-03-28,0.01144354574069015,0.024319110852842975,41350312.00223684
59,2017-03-29,0.005545262680768068,0.019503191701356788,35882546.82860526
60,2017-03-30,0.006296144683510686,0.019469026840349252,34907534.11428948
61,2017-03-31,0.002148216728491828,0.01806409160225616,39784076.20405263
62,2017-04-03,-0.009187917395926573,0.0259644620297937,43869156.0603421
63,2017-04-04,0.0015471227487624528,0.020792792064517174,43404441.79021053
64,2017-04-05,-0.014650576334287107,0.02876684556890776,48999710.02142105
65,2017-04-06,0.007919697088681359,0.02256406740082475,39992797.19899999
66,2017-04-07,0.0024270137789432844,0.018495297512549462,39493887.80802632
67,2017-04-10,0.0021232206987095987,0.0200508817307966,35806682.74057895
68,2017-04-11,0.0071782090865851285,0.02052656675393307,40012871.57739474
69,2017-04-12,-0.012019971125562036,0.022887205338873295,38525369.02589474
70,2017-04-13,-0.01096107729303003,0.02264134251571897,36269917.1818421
71,2017-04-17,0.009672957254707383,0.01958701023203161,34360153.05563158
72,2017-04-18,0.004041805121891717,0.019925074635421293,37888893.34707895
73,2017-04-19,-0.0019817823402921366,0.01993626093807533,39140451.00342105
74,2017-04-20,0.006519825290397025,0.0221627757130122,43410586.80810526
75,2017-04-21,-0.001625722214839534,0.019203644992839,39823557.9758421
76,2017-04-24,-0.002099325949501645,0.020645420550975742,44671412.81447368
