,Date,return,high_low,turnover
0,2017-02-13,0.00014989654759867276,0.00010254099497631663,3891139434132533.0
1,2017-02-14,0.00015530367441143135,0.00012608332938306838,1737705858269662.2
2,2017-02-15,0.00017860686415581032,0.00016365583697258945,2134072706242632.2
3,2017-02-16,0.00016221578417584,0.00012156730111408887,3275858007175471.0
4,2017-02-17,0.0002008646817412609,0.0003090257002713507,1891029276168902.0
5,2017-02-21,0.00013291805602608925,0.00010290247283946012,2971090398136977.5
6,2017-02-22,0.00017375321542083125,0.0001678388449818141,3921667062464618.5
7,2017-02-23,0.0004189334416550182,0.000607645670847594,7874733304289177.0
8,2017-02-24,0.00022041970451121867,0.00023196257617328625,4280680730602352.5
9,2017-02-27,0.0001493690218597326,0.00017430814725151746,2860651954881517.0
10,2017-02-28,0.00022072334976797184,0.00024319286232863386,6962432829473326.0
11,2017-03-01,0.00025765504054445915,0.0003412585432245843,4391895303073241.5
12,2017-03-02,0.0002860552863010841,0.0002052813517450556,2140823478040222.8
13,2017-03-03,0.00016898817024094698,0.00019034633581458175,1956797386631426.2
14,2017-03-06,0.0001251361460197119,0.00012536876737793352,1521633343906224.8
15,2017-03-07,0.00014041124412904186,0.00014265085641858088,5858716640352760.0
16,2017-03-08,0.00025801707925624684,0.00023447852539060557,3061496049622192.0
17,2017-03-09,0.00017048838213956172,0.000190818101881734,2860104922719725.5
18,2017-03-10,0.00013417127806267042,0.00012653972367621645,2593134882254378.5
19,2017-03-13,0.0001572942538459598,0.00011565083994855422,2144633390632934.2
20,2017-03-14,7.218874066127128e-05,0.00010306048418171725,1447190383173798.5
21,2017-03-15,0.00014356397908041736,9.878257361263613e-05,2793258586211018.5
22,2017-03-16,0.00013960474124192522,0.00010038184492261058,1966341728357452.5
23,2017-03-17,0.0001471249865761413,8.888598927585755e-05,5932341769875523.0
24,2017-03-20,0.00012580312564113727,9.350967108023598e-05,1153305878239837.0
25,2017-03-21,0.00037095546890230594,0.0003478412585468232,2247955959021804.5
26,2017-03-22,0.00010027454286137381,9.92875613473386e-05,1530239547857624.5
27,2017-03-23,8.692475136395392e-05,0.00010627120456614075,1640954107693793.2
28,2017-03-24,0.00011234089687341656,9.506700731835652e-05,1809621398282503.0
29,2017-03-27,0.00017843431852918173,0.00018645758548242516,1963849868766795.0
30,2017-03-28,0.00014408549924202968,0.00014529729197374606,2976563588806415.0
31,2017-03-29,0.00016467650896854723,0.0001532732967395813,1768351176194755.5
32,2017-03-30,0.00016278467110743993,0.00014000937994259604,1784300527864387.5
33,2017-03-31,0.00010390133082107849,8.480846275932144e-05,2195367924676149.8
34,2017-04-03,0.00013642427769080571,0.00015626480159926508,4483320923256859.5
35,2017-04-04,0.00015496797239048331,0.0001516753654133166,6504630637464355.0
36,2017-04-05,0.00021946184341914987,0.00022816260109793674,4193845725773609.5
37,2017-04-06,0.00011331375678502057,0.00010704288457841171,2664032876930741.5
38,2017-04-07,0.0001850347470516003,0.00018203979294774942,3963804478556130.5
39,2017-04-10,0.00012038131147328087,0.00014921921587774932,2849441759862078.5
40,2017-04-11,0.00010526213103197367,8.761579156067614e-05,2654579327838467.5
41,2017-04-12,0.00016309880800542998,0.0001657004134809592,4863475957954150.0
42,2017-04-13,0.00013177222373812156,0.00013013960574565774,2362236487794803.5
43,2017-04-14,0.0,0.0,0.0
44,2017-04-17,9.139266265611513e-05,7.643340410449413e-05,1887713284188891.0
45,2017-04-18,0.0001004058036465832,0.00011254294195910354,2178393754433336.5
46,2017-04-19,0.00017440293192660364,0.0001538635033645731,1891493985443957.8
47,2017-04-20,0.00014038315284098992,0.00013811451263859217,4757536722979422.0
48,2017-04-21,0.00011373566426528675,0.00017901738096023047,2114860129838279.0
49,2017-04-24,0.0001081225885889881,7.335154814910924e-05,2060907550762535.5
50,2017-04-25,0.00016073500211079243,0.00019777725226511188,1.3793059539271358e+16
51,2017-04-26,0.00026648966467687963,0.00029239360288381064,1.7605572042712874e+16
52,2017-04-27,0.00024582681257983267,0.00032965939091260057,6177922265882952.0
53,2017-04-28,0.0002407327607912176,0.00023344545513653074,1973143936360098.2
54,2017-05-01,0.0001373031441397926,9.865823226699244e-05,1778178191969073.5
55,2017-05-02,0.00027673357635571194,0.0002821719902020922,2596008324059382.0
56,2017-05-03,0.00023517496862752332,0.00026402669499577864,6484644231075843.0
57,2017-05-04,0.00032042962651127684,0.00039078383922873643,3941192817038327.5
58,2017-05-05,0.0003380466949476864,0.00027975439785790244,1721872762185838.2
59,2017-05-08,0.00015443058029379218,0.00012690481351435086,1123777730284620.9
60,2017-05-09,0.00017137596341431645,0.00014270777208582187,1297351625206702.0
61,2017-05-10,0.0001254326231749152,0.00014258501015595876,2364077388131150.0
62,2017-05-11,0.0001870383331017055,0.00017208732788074062,1462440915044560.5
63,2017-05-12,0.0001269426025429786,0.00011724478593237944,1711216335749844.5
64,2017-05-15,0.00012430919633893184,0.00010317052259212505,1621621048644300.2
65,2017-05-16,0.00012477932581412556,0.0001047121793787394,3607031790333958.0
66,2017-05-17,0.0002593609160823302,0.0002726893078858466,2701140056183778.0
67,2017-05-18,0.00013519973750607503,0.00013344085858347566,1353876566686758.8
68,2017-05-19,0.00015333580290986598,0.00013773762494266112,1048717494451330.2
69,2017-05-22,0.00013174423578146,9.991861080754037e-05,903235047841658.4
70,2017-05-23,0.00017761226859013546,0.00013355671772020562,1321751675158587.2
71,2017-05-24,0.00013305648682832737,0.00013658171593972424,4642279989956611.0
72,2017-05-25,0.00033748091257015185,0.0004128788639956691,2555806928755025.5
