Date,return,high_low,turnover
2017-08-17,0.00010073234575421569,0.00012830762263637627,883001195206.8163
2017-08-18,9.890667948862393e-05,0.00012636272303374437,4922292133696.119
2017-08-21,9.962341458791172e-05,0.0001239965017238978,12233936280561.463
2017-08-22,0.00025136004847704373,0.00014082705275477418,16293534560.52258
2017-08-23,0.0001064545539441611,0.00011910747789688252,479186143498.34534
2017-08-24,0.00010913381557624283,0.00012129480718729874,418272565066.9615
2017-08-25,9.984059377907191e-05,0.00012928183916331896,1135926630820.5237
2017-08-28,8.555060973778503e-05,0.0001302895839187494,683334693548.461
2017-08-29,0.00010972319141697792,0.0001410584632310125,3681956737492.292
2017-08-30,9.762079449094118e-05,0.00012098506360070297,715178017211.5364
2017-08-31,0.00010667517004104456,0.00015343120048887872,704223084870.5892
2017-09-01,0.00011197356258603461,0.0001280745493185262,717711468349.5508
2017-09-05,0.00010359846475410371,0.00014090626851899664,149859730698.95633
2017-09-06,0.00185747320542894,0.0016050237292739246,913208758444.0304
2017-09-07,9.422631580252244e-05,0.00012065929380183893,679946745642.2432
2017-09-08,0.00010874051616484671,0.0001228912380511164,1543418017964.6863
2017-09-11,0.00010537529628136676,0.00011321900231684778,271314908572.79013
2017-09-12,0.0001212620649071542,0.00012619147439536956,3638903686270.7085
2017-09-13,0.00010683994950633151,0.00012049414172497903,6071647985755.96
2017-09-14,9.418161949023496e-05,0.00011218297646610687,6438307984283.985
2017-09-15,0.00011988348053793666,0.00013287529912554176,4537444995277.091
2017-09-18,0.00011329534860108914,0.00012645847319847222,3541010029206.514
2017-09-19,0.00010027824962441842,0.00012207685811698878,6474831103873.054
2017-09-20,8.941729269074993e-05,0.00011956328655362068,42924984593774.54
2017-09-21,0.00010235452090391083,0.00015937934356681746,16002525461303.066
2017-09-22,0.00010255208799142916,0.00011074763919741718,32034268657319.805
2017-09-25,0.0001028307874668678,0.00015368383358103007,21464568230988.598
2017-09-26,8.682565472261283e-05,0.00012392687428068673,7379379256776.902
2017-09-27,9.291532381072608e-05,9.84452585741096e-05,1573430995699.6082
2017-09-28,9.050745783515609e-05,0.00011991739722247286,8405307678754.406
2017-09-29,9.92172985584968e-05,0.00011401816040596498,1086590239430.7295
2017-10-02,9.600081048923955e-05,0.00013518427904939744,3290491799944.537
2017-10-03,8.617916939765317e-05,0.00011080424685398717,350770913064.3984
2017-10-04,0.0004663633426713585,0.0001224246011881215,679694663050.5856
2017-10-05,0.0001517971997043429,0.00010958523449382518,13381884304204.129
2017-10-06,8.91867209724846e-05,0.00011368638885918421,2597779372726.991
2017-10-09,9.644392692054279e-05,0.00011628838205230297,2016728313438.2488
2017-10-10,0.00010519765388061423,0.00011594232234630372,1249923861607.9236
2017-10-11,8.85335529574031e-05,0.0007291696123632827,628237789893.5626
2017-10-12,9.583487110225949e-05,0.00011615605662583696,59371819365.98154
2017-10-13,0.00010018205796847393,0.00012046347439368375,3158298947127.4565
2017-10-16,0.00011038246794023871,0.00012558726940761715,122722417065.09888
2017-10-17,9.43198994644575e-05,0.0001372390124181745,1891928510247.6948
2017-10-18,9.436600200370265e-05,0.00010106318394030367,1056290133733.3372
2017-10-19,0.0001036200578378505,0.00012515025946220758,1674620583028.4475
2017-10-20,8.772840798342688e-05,0.00012175495348512884,4746856711973.924
2017-10-23,0.0001015195260343772,0.00011384509552775298,593790641942.692
2017-10-24,9.340178201255391e-05,0.00013573558745606968,633972362293.9797
2017-10-25,0.000501586360989009,0.00014954650179222203,7149335534460.685
2017-10-26,8.852865497620225e-05,0.00012579133360543282,373769454801.7526
2017-10-27,9.056733264113903e-05,0.00016116381913927155,108630803501923.08
2017-10-30,9.421431450160441e-05,0.00012625639880377453,27179406277175.168
2017-10-31,0.00010462756036138013,0.00014127948642736775,27810149104179.742
2017-11-01,9.201000827799814e-05,0.00011422958275998883,6913196925807.807
2017-11-02,9.890840736215457e-05,0.0001263959671260586,7836786898039.857
2017-11-03,9.728222497289603e-05,0.00012000140152437261,2368547976975.1533
2017-11-06,8.243338955060126e-05,0.00011409981518035561,7541375668547.383
2017-11-07,9.030491354707663e-05,0.00011832266042880215,30756386237874.39
2017-11-08,1.1230514102707187e-05,8.912225521635626e-06,224072023678844.4
2017-11-09,9.651519960660936e-05,0.0001641268944546723,2197769422617.1545
2017-11-10,9.466827115515582e-05,0.00011750768233038409,3855708784926.785
2017-11-13,0.00011205911913206013,0.00012722105372369675,11872659107.487457
2017-11-14,9.362325499076304e-05,0.00012358979022348705,1497460406613.3215
2017-11-15,9.739576895949827e-05,0.00012313719616248187,1099358426493.729
2017-11-16,0.00011933440947624017,0.00012576699419347538,216113694059.82394
2017-11-17,9.321638991202108e-05,0.00012655762535505841,5445392141417.899
2017-11-20,9.758423545281624e-05,0.00012630014905075766,8610707582653.976
2017-11-21,0.017624934898488247,0.018878716395955553,5699994444982.416
2017-11-22,0.0031657569173704644,0.002133194463355127,940868811411.2511
2017-11-24,0.00011262155151925137,0.002006550001185781,297091937809.274
2017-11-27,0.0007401053833983036,0.0077645071011166154,1700697207361.2664
2017-11-28,0.003576057723894197,0.004098197299599442,1020607803610.8248
2017-11-29,0.0002055768484454208,0.0007308399684029691,5348788022388.27
2017-11-30,0.0015401821262648026,0.0009313354873051602,15242838870158.533
2017-12-01,0.002491876262162634,0.0032727343317169024,5013104725920.0
2017-12-04,0.0016614300480886223,0.0003984761070087633,8763972469341.769
