ADNT
ATGE
APY
ASB
AVNS
CABO
CARS
CC
CDK
CLB
CMD
CTLT
DNOW
EHC
EPC
ERI
GATX
HWC
HQY
HUBB
JBGS
JHG
JW.A
LITE
LIVN
RAMP
LPT
LW
MIK
NNN
NVT
OLLI
OZK
PRAH
PTC
SABR
SFM
SYNH
TCF
UE
UNIT
VVV
VSM
WYND
